Review_Text,Label
제주도 전역이   전체적으로 해장국내장탕수준이 높아서 그런지  유일하게기대이하인집특히 유일하게 잡내때문에 절반도 못먹고  중도포기,0
웅 맛있는데 평이 왜케 안좋죠서비스로 나오는 디저투도 맛있어욤,4
푸파퐁 커리 넘 맵고 별로였으,0
마파두부,4
서울숲왔다가쌀국수 매운해산물볶음칼국수 파인애플볶음밥,0
오일 해물 파스타 해물 맛이 장난 아닙니다 나가사키 짬뽕맛도 나는 듯 음식은 별 개 정돈데 홀에 계신 여자 직원분이 너무 친절하셔서 점 남겨요,4
이주소로 가지마세요  빠에야 먹고왓어요넘 맛 없는,0
광고네 걍 동네 베트남집 가셈가격 비싸고 국물 양 작고 콩나물은 몇가닥 넣어줌혼자 서빙하는데 되게 분잡하면서 정신없고 여유로운 분위기도 아님저게 인가 속은 느낌,0
여기는 다른 메뉴 먹으려 가기보다는 국수 먹으려 가는 곳 점심에 오면 국수든 냉면이든 시키면 고기도 같이 줌,4
별점보고갔는데 기대이하입니다특히 초대리맛도 별루였고 초밥에 밥이 뭔가 따로도는 잘 부숴지는 그런 일반 초밥집보다 많이 부족한 초밥이었네요광주사는사람으로 다시가고싶은 생각은 들지않네요,0
스끼 단촛물밥 회국수 꽁치 안줌왜 안줌 사람 가려가면서 주나요,0
음식맛은 모릅니다 일하시는 분들의 응대 및 태도가 너무 최악입니다 오전 시 분 도착 오픈했는지 여쭤보니 시 넘어서 연다고 함 입구에 오픈시간봤더니 시 가게 밖에서 기다림 시 되어서 가게들어가니 다들 식사하고계심 식사되냐고 물어보니 시 넘어서 된다고 함 지금 시인데 시 넘어서 언제냐고 물어보니 그걸 자기네들이 어떻게 아냐면서 시 넘어야 연다고 함열받는 점 시 넘어서 연다고 말씀해주신 통통한분 가게 앞에서 기다리는거 봤고 시에 식사하실 계획이셨으면 시 반쯤 되겠다 오늘은 오픈 준비가 늦어 시에 되겠다 이 말 한마디 못해주십니까 그리고 시에 들어가니까 시 넘어서 열어요 라고 얘기하는데 본인이 생각하는 시 넘어서는 대체 몇시입니까 시 분은 시를 넘은게 아닌지요 인간대 인간으로 배려좀 하고삽시다 식사하시고 계시던 사장님 나이좀 있으신 남자분 주방장님이신지 사장님이신지 모르겠는데제가 시 넘어서 언제되나요 다른곳 갔다가 맞춰서 오려구 물어봤더니 하시는 대답이 그걸 우리가 어떻게 알아요장난치시나요 오픈시간이 시인데 시에 식사하시는것도 이해가 안되는데 본인들이 몇시오픈인지도 모르다니요 그게 가게를 운영하시는 분이 하실 말씀이신가요덕일관 일하시는분들 기본적인 배려는 좀 챙기면서 장사합시다 멀리서 먹겠다고 찾아왔는데 도착하자마자 전주에 대한 이미지가 똥통에 처박혔네요,0
년동안 매번 들어갈때마다 신나는 곳년동안 매번 먹고 나올때마다 행복한 곳가장 맛있는 메뉴로는짜장짬뽕탕수육 등이 있다,4
년에 꼭 두번 제주도 오는 부부입니다  제주공항에 도착해서 목적지로 가다가 배가고파 조천읍내쪽으로 지나가면서 우연히  만난 백반집 그런데 대박 가성비 최고 밑반찬이 가지가 넘는 무한리필 고등어정식에  제육까지 나오네요손흥민 이효리가 다녀간건지 사인도있고 하여튼 물가 비싼 제주에서 오랜만에 맛도 좋고 가성비도 좋은 식당발견해서 너무 좋네요,4
주방장 분이 왜 마스크를 안 쓰시는지,0
태국 음식 좋아해서 기대 많이 했는데 아쉽게도 그저 그랬어용  넓적한 누들 팟키마오 찐 맛집 어디 없나요,0
