Name,Score,Address,Reviews
미성양꼬치 판교점,3.6,성남시 분당구 판교역로192번길 22 판교효성해링턴타워 1층 107호,매운맛은 맵기만하고 맛 없음 그냥 여기 맛이 별로||그냥저냥 무난함~! 테이블위에있는 큐알코드로 찍어서 주문해야하는게 좀 신박했음||ChiPi chiPi chappa Chappa Doo Be Doo Bida Badaba Magic Boom Boom Boom Boom양꼬치  최고 였는데 고기가작아짐|가격이 괜찮아 보여서 갔는데꼬치의 고기가 너무 작아요...|이가네 꽉차서 여기로 왔는데 구냥구냥 평타!|다 좋은데 사람이 너무 많아요. 미리미리 예약하셔야합니다!|판교민은 별점이 후하네..이게 3.8이라고?이가네 가세요..제발..지하철 타고 이가네 본점으로 가도 더 이득입니다|온면과 물만두는 맛있음.꿔바우로우 맛이 없어요. 개선부탁드립니다.|이가네보단 사이즈가 작지만... 그래도 맛있다!||양갈비살 꼬치 맛 1등입니다~직원분들도 친절하고 요리나 식사도 맛있어요^^시끄러운곳 싫으시면 이집 추천합니다|옆 이가네가 꽉차서 여기로 왔는데 양꼬치는 뭔가 느끼하고 꿔바로우는 단맛과 신맛이 강해서 금방 물리네요..|맛있고 깔끔해서 좋았어요|전체적으로 무난하고 괜찮았어요
짱수양꼬치&짬뽕 정자3호점,3.9,"성남시 분당구 성남대로331번길 13 백공프라자1 102호,103호","제 친구가 여기 음식먹고 장염걸렸습니다..단무지가 쉰것 같더니 거기서 문제가 있는거 같네요.볶음밥 먹다가 이상한 꼬불꼬불한 짧은 털도 나왔지만 그냥 넘어갔는데 위생에 문제가 있어보입니다.|지나가다 우연히 발견하고 차돌짬뽕을 먹었는데 진짜 맛있어요. 리뷰 같은 거 귀찮아서 잘 안 남기는데 여긴 강추요!|진짜 기대 안하고 갔었는데... 여자 사장님 너무 친절하시고 양꼬치, 꿔바로우, 짜장면 다 너무 맛있었어요!!|마파두부가 맛있는곳|짜장면 탕수육 볶음밥 다 맛있어요!|양념보다 생양꼬치가 맛있음. 요리류도 무난무난하니 맛있다~|마라탕 양꼬치 짬뽕 탕수육  먹었는데18000원 마라탕에 야간의 고기, 숙주, 어묵2개 들어 있고 당면등은 아예 없습니다탕수육 튀김은 딱딱하고 짬뽕면은 불어 있었어요그나마 양꼬치 구워먹은것으로 위안...최악의 음식점입니다...|짬뽕짜장탕수육 세트 맛있어여 !|세트 좋네요||여기는 돼지고기 튀김 먹는 곳입니다. 독보적인 맛이에요.|짜장 짬뽕 두번 먹어 봤는데...짜장은 찬물에 안헹궈서 불어 터지고..짬뽕은 면은 덜익고 국물은 볶은게 아니라 걍 물에 양념넣고 끓여서 나오는데 그걸 감안해도 맛없다..|best lamb skewers|"
만월,4.2,성남시 분당구 내정로173번길 49 궁전프라자3 1층,"몽골리안 비프가 정말 괜찮다. 볶음밥도 수준급.|짜장면이랑 탕수육이 맛있네요|짜장 탕수육 짬뽕 맛있어요|모든 메뉴가 밋있구 친절해요!날씨 좋을 때 바테이블 앉으면 기분도 조크영|맛있어요근데 양 적고 가격이 올랐어요재방문 의사 없습니다|볶음밥>짜장면..짬뽕은 불맛나고 속이 편해요.유산슬밥은 재료가 부실한듯..찹쌀탕수육은 배달하는 곳중 잘하는 곳 평타 정도.. 금액대비 적은 양|여기 갸 맛있는데... 소문나면 안 되는 맛집ㅜ지금도 동네 맛집인데 웨이팅이 있으니.짜장면이 옛날 라드 짜장맛짬뽕 별로 안 좋아하는데 국물이 참 무겁지않게 시원하고 맛있다. 요리류도 상타치.소규모로 운영하는게 단점이자 장점.밑에 1점짜리 평점보고 의아했지만..,그들의 평균평점이 2.0을 보고 납득해버렸다!그냥 그런 사람인 것이다. 아참. 주차는 롯백가는 쪽 금호상가가 1시간인가 2시간 무료로 알고있다. 참고하시길. 해당 건물 토스트집도 맛있다. 것도 참고하시길.|차돌탕면은 좀 실망스러웠어요. 굴짬뽕은 먹을만해요. 살짝 웨이팅 있습니다.|맛있어용 가게가 작아서 포근해요|최고라는 말 밖엔!!! 정말 맛있습니다. 짜장면, 삼선 짬뽕, 탕수육 모두 최고예요. 수고하시는 셰프님들에게 큰 절이라도 드리고 싶어요. 서빙하시는 분들도 어찌그리 착하고 친절하신지요. 번창하세요. 자주 방문드릴께요.|||||요리 하나하나가 모두 맛있습니다.|:D||짜장 짬뽕 탕수육 먹어봣어요! 기본기가 탄탄한 맛이랄까요! 늘 만족하게 먹고 나오는 깔끔한 식당입니다||식사와 요리들이 다 기본 이상 합니다. 가게가 아담해 테이블이 적어 대부분 대기해야 한다는 점이 하나 아쉽습니다.|짜장면 먹었는데 그냥 그렇습니다. 삼선이라 하기엔 재료가 많이 부족해요ㅠ|평점한 맛. 매우 불친절. 사실 정확히는 짜증섞인 눈빛과 말투. 식당 입장 시에 테이블을 치우는 중이었고 1분 내외면 바로 자리가 안내가 가능한 상황인데도 반복해서 문 앞에 서있지 말고 나가라고 세네번을 이야기 합니다. 심지어 힐끔 째려보기까지 하니 잔칫날에 폐 끼치러 온 객이 된 느낌입니다.사장의 비뚤어진 마음은 손님이 바로 알아 차립니다. 서비스업에 종사하기로 마음먹은 이상 이점은 인지하는게 좋다고 생각합니다. 만약 자리 치우는 동안 밖에서 대기해달라고 부탁했다면 저는 식당의 룰을 충분히 존중할 의사가 있습니다. 하지만 본인은 먼저 손님을 존중했는지 묻고 싶습니다.현재 영업은 꽤 되기 때문에 저에게 너 따위 하나는 아무 문제가 되지 않는다고 코웃음 칠법도 합니다. 하지만 태도가 모여 습관이되고 이는 자연스레 음식에 드러나는 법 입니다. 향후  제 말이 생각나는 때가 분명히 올겁니다.사실 이번 한 사건만 가지고 굳이 제 시간 들여가며 이 장문의 글을 쓸 필요도 이유도 없습니다. 지난번에는 비오는 날 우산을 모르고 들고 갔다가 성화를 내는 어조에 당황했고, 들어오자마자 포장이냐고 물어보는게 빨리 나갔으면 하는 느낌을 받았습니다저야 이제 안 가면 그만이지만 사장이 혹여나 제 리뷰를 본다면 블랙컨슈머니 뭐니를 따지기 전에 본인의 마음에 한번 손을 얹고 스스로 돌아보는 시간을 갖기를 희망합니다.|대기시간이 아쉽지만 좋아요|Chinese|엄청 옛날 지어진 상가건물에있는데여기만 층고가 높은거보면 천장까지 뜯어서 공사다시하신듯 마라탕면 볶음밥(곱) 시켰는데 마라탕면이 일반 마라탕집 마라탕하고 맛이다른데 맛있음간은 약간 짠데도 계속 들어가는맛고수가 들어가는데 엄청 조금들어가서고수싫어하는데도 맛있게 먹었어요볶음밥도 찐으로 맛있고 계란국도 주시는 센스상가에있는 음식점중에 여기만 손님 바글바글가격도 들어간 재료대비 비싼게아니라 적당하다는 느낌 진짜맛있다 또가고싶다~|||유산슬밥 탑,, 군만두 탕수육 필수,, 나머지도 굿||식당도 깔끔하고 음식이 엄청 맛있어요!!|삼선짜장면 삼선짬뽕 크림중새우 주문.음식이 동네중국집보단 맛있고매장도 깨끗합니다. 짜장면은 크게 차이있다고는 생각지 않지만짬뽕은 자극적이게 맵지 않아 좋았습니다. 크림새우는 튀긴정도가 바삭하고 크림양념도 맛이 좋았습니다. 무엇보다 직원분들의 센스가 좋았습니다. 처음에 나온 茶도 4잔정도 따르고 나니 새로운 차로 바꿔주시고 짜사이나 단무지도 요청하기 전에 더 주시는 게 좋았습니다. 재방문의사는 있긴 한데 가격대가 좀 있어서 주저할 순 있을 것 같습니다.||후기만큼은 아닌듯탕수육 2.3만은 너무 비싼거같아요 딱히 특색도없는데..짜장/탕수육 : 그냥..짬뽕 : 너무맵기만 함..|중식이 먹고싶을때마다 가는 식당. 동네 주민들 다 아는 맛집입니다. 포장해서 먹어도 맛있습니다.|짬뽕 대맛집.. 유산슬도 미쳐씀|최근에 먹은 짜장면 중 탑인거 같아요 멘보샤도 너무 맛있게 잘먹었어요|동네주민이 가는맛집후기가 더 쌓이지 않기를 바랄뿐,,내가 가서 먹기에서 빡쎔"
이가네양꼬치 야탑직영점,4.5,성남시 분당구 장미로92번길 9 B101호,비싼데 맛있습니다.학생들이 먹기엔 부담스럽네요.||금요일 여섯시쯤갔는데 두 테이블정도만 손님 있고 대기는 없었음. 판교 이가네 양꼬치는 사람이 너무 많아서 야탑점 가봤는데 맛있지만 그래도 판교점이 그립.. 볶음밥은 별로였음. 역시 이가네 양꼬치는 시끌시끌해야 제맛.😁|딱 기본이었던거 같아요. 엄청나지도 않고 엄청 못나지도 않고?무난초 무난초||토달볶 첨 먹어봤는데 넘 맛잇군💚|양꼬치 양갈비구이 꿔바로우|3.5점양꼬치 특유의 감칠맛이 조금 부족한 느낌 살짝 질긴 것도 아쉬움|양꼬치는 여기 자주감밀면도 맛있고 볶음밥도 맛있고 고기도 맛있고 다 맛있다|양고기 특유의 향이없어서 아쉽기도 하지만...ㅋㅋㅋ남녀노소 누구나 좋아할수있는 최고의 양고기정말 부드럽고 양고기로 맛나다기보다도 그냥 맛있는 고기같은 느낌!단골임ㅋㅋㅋㅋ칭따오가 정말 시원하고 맛나다. 무알콜칭따오병을 파는 것도 너무 좋으다.|
양우양꼬치,4.5,"성남시 분당구 대왕판교로 660 유스페이스1 1층 144호, 152~154호",양꼬치 전체적으로 괜찮았습니다.||맛있어요 옆가게 같은 사장님이라 족발도 시켜먹을수 있어요 ㅎ|자리가 비교적 넓고 깔끔해서 좋다.||깔끔
자오챤,4.2,성남시 분당구 성남대로 295,"만두는 진짜 다 맛있었어요 술한잔 하려고 짬뽕시켰는데 깔끔한맛!! 해장용 술국이었어요 간이 안쎄서 전 너무 좋았어요 조미료맛이 전혀 없는집!!! 속이 편해서 넘 좋았어요|언제 가도 맛이 안정적이라서 좋아요.일반 중국집에 비해 간이 약한 편이지만, 중국집이라는 생각을 뒤로 미룬다면 딱 좋은 짠맛이라는 생각입니다.매장이 좁지만 항상 청결해서 답답한 느낌은 없어요.|네이버 평점 4.52라서 부모님 모시고 다녀왔는데 너무 실망했습니다.반반새우만두+탕수육+짜장밥+짬뽕 이렇게 먹었습니다.먼저 새우만두 맛있어요 무난합니다. 맛없기 힘든 음식이죠.탕수육은 물반죽이라고 하나요? 튀김옷이 두껍고 바삭이 아니라 폭신한 느낌의 탕수육입니다. 고기가 적고 튀김이 두꺼워서 아쉬웠습니다.짜장밥은 일단 짜장 소스가 별로에요. 진한 춘장의 맛이 아니고 밥이랑 잘 안어울려요. 전체적으로 아쉬운 맛이었습니다.짬뽕은 짬뽕이 아니라 홍합탕? 바지락탕? 그런 느낌이에요. 그냥 조개만 넣고 끓인 해물육수.. 짬뽕으로 팔면 안될 느낌입니다.. 다들 맛있다고 하니 제가 이상한 느낌입니다만 ㅠㅠ 고민해보시고 가시길 바랍니다.|짬뽕 국물이 깔끔해요. 조개육수 같은 느낌? 전체적으로 무난..||불맛은 없지만 깔끔한 순한 수제짬뽕맛 맛있습니다.|매장에서 만들어서 그런가만두맛있음|깨끗 독특한 맛 건강한 맛|자주 가는 곳입니다.유니콩 짜장은 진득한 맛은 아니지만 아이들이 먹기 좋고 속이 편합니다.짬뽕도 맵고 자극적이지 않아 매운음식 못 먹는 사람도 먹기 좋습니다.요리와 식사 모두 훌륭합니다.|셰프님이 근본있음 음식에자부심있으신것같아요||짬뽕 리뷰 보고 갔는데 국물이 짜고 내용물도 그렇고 그래요||짬뽕맛집~♡|유니콩짜장 다른 보통 짜장면과 다르게 독특하고 고소해요. 탕수육도 맛있어요.|간이 세지 않아서 좋아요 !! 중식먹고 나서 더부룩한 느낌도 없구 친절하시고 맛집입니당|최고에요 ㅋㅋ 진짜 좀 독특함 그리고 정갈함||여긴...별10개임|진짜 5년간 중국집 가봤는데.. 합리적인 가격대에 비해 너무 서비스나 음식 맛이나 빠지는 게 없는 완벽한 중국집 정자동 살면 제발 여기오세요 이상한 곳 가지말고..||자장면 5000원. 물론 수타면은 아니고 자장 소스 색이 약간 특이함. 맛은 괜찮음. 탕수육도 괜찮음||나쁘지 않음 가정식 느낌의 중식집만두 괜찮다|실하다. 거리가 도보가능이면 평가가 달라졌을지도.별점 기준1) 재방문 의사 없음.2) 찾아서 갈만큼은 아님. 주로 가성비 떨어짐.3) 재방문 의사 있음.4) 훌륭함. 리스트에 적어 놓고 재방문하고 싶음.5) 단골이 됨. 1년에 몇번은 찾아감.|맛있다 정말.... 뭔가 일반 중국집 느낌도 아니면서 그렇다고 퓨전도 아닌 특색있는 맛. 그러나 주문이 오래 걸린다...|맛있는듯"
탑차이나,5.0,"성남시 분당구 판교로 645 상가 1층 101,102호","쟁반짜장 간.짠.맵의 맛의 조화가!! 맛있었음. 탕슉은 생각보다는 쏘쏘. 테이블이 6개쯤? 밖에 안되서 대기가 있을 수 있는데 미리 대기할때 메뉴 적어둬서 자리 앉자마자 음식 금방 나옴. 배달은 안되고 포장은 가능.|짜장면 먹었는데 겁나 맛있음이제까지 먹은 짜장면중 세손가락 안에 듬|숨겨진 찐맛집♥ 테이블 수가 적어 웨이팅 있으며, 특선으로 여름 한정 콩국수, 중국식 냉면이 있네요. 날이 더워서 콩국수 시켜 먹었는데 완국.. ㅡㅡㅋ 빙수처럼 나오는데 위에 콩가루 + 소금 조합이 환상이네요.볶음밥도 간이 되서 나오고, 위에 얹어 나오는 계란 후라이 뭐임♥ 짬뽕/짜장/간짜장 할 것 없이 다 맛있다고 하네요.. ㅜㅜ 다음에는 중국식 냉면 도전해 볼거에요!!!!!!!!!!24. 4월 기준 휴무일이 일->월요일로 바뀌었습니다. 참고하세요!!!!!|평점이 하도 좋길래 가봤는데 맛있어요|가끔 가지만 진짜 여기만한 중국집 없다고 생각합니다. 근처에 짬뽕으로 유명했던 가게 하나를 오래 다녔지만 여기 알고나서부터는 한번도 안갔네요. 진짜 여기 메뉴 한번씩 다 먹어봤지만 맛이 없는게 단 하나도 없었어요.|짱맛있어요 대기할까바 가면서 항상 두근댐ㅋㅋ|진짜 깔끔하고 맛있어요. 2인코스 추천드려요.가성비 좋아요.여기서 저번에도 다른 코스 먹고, 지금까지 7가지 정도 먹어봤는데, 하나도 실패가 없네요.서빙하는 분 진~~짜 친절하세요.ㅎㅎ주인여자분 무뚝뚝함을 서빙하는 분이 다 커버.동네 숨겨진 맛집. 주차는 꼭 상가 뒤쪽에만, 아파트나 도로는 벌금낸대요.|주차가 안되어서 아쉬운집학교앞 중국집으론 이 퀄리티 나오기 쉽지 않아요회사 사람들 모두 같이 갈 의향 있음.|배달을 안하는 것만이 유일한 오점... 맛으로는 후회 안 해요|맛으로는 후회하지 않을 집입니다.||짬뽕국물이 걸죽하거나 탁하지않고 맑고 깔끔. 한번더 가볼예정--------------------------------근처에서 제일맛있는 중식집. 중식먹고싶을땐 여기로만 감. 식사시간대에는 사람이 항상 많음ㅠ짬뽕하고 해물쟁반짜장 넘나 맛있음||맛있어요 근데 조리시간은 조금 길어요 주문하실때 참고하세용|주변에 일이 있어서 일찍 도착해 밥을 먹었어요.아니 근데… 맛집이 이런곳에 숨어있었네요…번화가에 있었으면 대기줄 장난 아니었을 집이에요.대기가 좀 있었는데 그건 맛집 인증이잖아요?ㅋㅋ너무 맛있게 잘 먹었습니다.오늘 일 잘할 수 있을 것 같아요 :)|여러번 먹어봤는데 먹어본 메뉴들 다 맛있었어요. 양도 충분하고 홀도 깨끗한데다 친절합니다.|오징어짬뽕에 오징어 한마리가 통채로 들어갑니다. 그렇다고 다른것이 부족하지도 않구요. 멀찍이 다른 동네 산책하다가 얼결에 좋은 식당을 찾았네요.|정갈하고 고급진 맛||삼선간짜장 바로해서 주시니  불맛도 확실히 나고 너무 기름지지 않아서 좋았음다시 방문예정|야탑동 인근에서 제일 맛있는 중식집! 배달 주문도 자주 하고 홀에 가서도 자주 먹어요 -:) 가격대는 조금 있지만 내용물도 실하고 양도 푸짐해요! 오늘 먹었던 TOP 볶음밥은 정말 맛있습니다 🙂|짬뽕만 먹어봤지만.. 이 집 짬뽕은 특급 호텔요리다.||배달 시켜먹었는데 진짜 넘 맛있읍니다. 인생맛집|포장해와서 먹었어요. 간짜장 탕수육 다 맛나지만 청결한 주방이 보여서 더 맘 놓입니다|맛이 고급져요~ 집근처에 이렇게 훌륭한 음식점이 새로 생겨서 행복한 요즘~ 식사로 술안주로 자주 포장해다 먹고 있습니다~ 강추!!|"
홍콩반점0410 분당서현점,2.7,성남시 분당구 분당로53번길 10 동호프라자 2층,"오 확실히 괜찮아졌습니다|백종원쌤 유튜브 내꺼내먹 보고 왔는데 짜장밥 진짜 맛있네욥!!!! 탕슉도요!!! 짬뽕두요!!! 리뷰 왤케 안좋은지 잘 모르겠어요! 후후|옛날에 꿔바로우라는걸 알려준 식당인데 그게 거의 10년전이네요..리모델링하고 다시가봤는데 너무 얇아진고기에.. 짬봉은 진짜 무슨맛인지 먹으면서 제 인생 최고로 맛없는 짬뽕이였어요... 너무 욕하는거같지만 ㅠ 팩트만 얘기드렸습니다..그래도 리모델링해서 가게는 깨끗하고.. 친절한건 아니라서 이것도 잘 모르겠네요|양파가 탄건지 짬뽕국물에 검은색 물질이 엄청 붕붕 떠 다녔어요 그래도 걍 먹었는데 괜히 신경쓰이네요그래도 매실 한캔씩 주니 별 두개 줌 맛은 그냥 그럼|맛은 평범 하고 리모델링하면서매장은 깨끗해졌지만 서비스가 없습니다.계산은 키오스크, 물 반찬 셀프음식을 받고 식기 반납까지전부 손님이 하도록 바꿨습니다.서비스가 나쁜 게 아니고 정말 아예 없어요.|1인 식사 하기에도 좋은 곳이에요. 자리가 많고 맛도 좋았어요. 직원분들 다 친절하심 ㅎㅎ|여기 절대 가지마세요.제가 여기서 근무 했었는데 사장님,홀 직원들과 주방 직원분들 성격이 개판이고 내 잘못 아닌거 가지고 나한테 뒤집어 씌웠으면서 사장은 직원들 잘못 없고 다 내잘못이라고 헤서 그만뒀는데도 불구하고 여태 사과 1도 없고 그만둔 이후로 배민원 도보로 배달 하고있었는데 사장이라는 놈이 배달 하고있는 나한테 왜 본인가게꺼 배차 잡냐,가게에 오지말라 등등 얘기하면서 화내고 욕 해서 내 인생까지 망친 가게임.솔직히 사장은 본인 가게에만 집중 하면 되는데 왜 배달 일을 하고있는 나한테 해준것도 없으면서 본인 가게 배달은 잡지 말라고 하는지 모르겠다.이런 가게 가면 기분만 잡치니깐 가지 마세요.그리고 다른 후기 보면 홀 직원이 주문 잘못 받은거 사과 안하고 오히려 직원이 화냈다고 함.내가 이런 직원과 사장이라는 사람의 성격 때문에 그만둠||주문받는 안경쓰신 아주머니.. 주문할때 고추짜장 달라고 3번을 말씀 드렸는데 고기짜장으로 한번 말했다고 하시며 잘못들으시곤 분명히 고기짜장 시켰다고 본인이 여기서 많이 일했다고 틀릴리없다고 우기시네요. 주방직원분 나와서 청양고추랑 소스 따로 주시긴 했지만 좀 기분이 나쁘네요. 굳이 가진 않을듯|고추짬뽕 맵고 맛있습니다||홍콩반점이야 뭐.. 무조건 가성비 맛집|||진짜 홀직원들 최악; 주문 잘못받아놓고 죄송하단말도 없이 주문표 뽑아와서 주문 이게 맞다하고.. 재결제 해달라고 몇번을 불러도 못들은척 못본척하고 배달용기 포장만함.. 카드결제였는데 차액 동전으로 ^^ 주더라고요 ^^ 걍 더 말하기 싫어서 나왔습니다~음식은 맛있음.. 걍 배달로만 드세요..|탕수육 짬짜면 한꺼번에 먹을 수 있는 알뜰 세트 먹으러 가끔 방문5번 정도 방문했는데 서비스는 큰 불편은 없었고 탕수육이랑 짜장면은 괜찮은데 짬뽕이 좀 많이 싱겁다. 그냥 가성비 중국집 수준|짜장면 먹는데 계속 앞에서 수저 리필하시고 고추가루 리필하시고 휴지 리필하시고..너무해요ㅜㅜ|간이 하나도 맞지 않습니다. 먹어본 짜장면중에 제일 따로 놀고 농도가 낮아 싱겁습니다.짬뽕도 싱겁지만, 건강한 맛이라고는 먹을 수 있습니다. ㅎ|졸라 불친절!짬뽕 국물 졸라 짜 !한숟갈 먹고 버림!|백종원의 컨설팅이  시급한 매장골목식당이 문제가아니라 백종원 매장관리가 우선필요한매장불친절 /  익지않은 맨보샤 /  음식맛 신경안씀등등 걍 심각함.|짜장면 짬뽕 모두 소스나 국물맛보다 밀가루 향이 강한것 같습니다. 특히 짜장면 소스는 너무 묽어서인지 짜장면 같지 않은 맛이 나고 탕수육은 쫄깃하나 후추향이 유독 강하게 나서 뭔가 인스턴트 음식을 먹는 느낌이었습니다. 가격이라도 다른 중식당에 비해 저렴했으면 모르겠는데 우선 맛이라도 개선이 필요해 보입니다.|쟁반짜장은 불맛나고 맛있지만, 한가한시간때임에도 선불을 고집하는 분위기와 보통짜장과 보통 짬뽕은 맛이 너무 밍밍했습니다.||별 한개도 아깝네요 짬뽕은 불맛뿐만 아니라 그냥 아무맛도 안나서 고춧가루만 10번은 넣었어요. 짜장도 물만 탄 느낌이고 절대 가지 마세요 돈 날렸네요|종원이형 설탕 1000일 압수|혼자왔다고 무시당했네요 질서도 없고|직원분들 너무너무  친절해요! 짬뽕도 맛나요|직원분 엄청 친절하심.. 이때까지 갔던 홍콩반점 중에 젤 친절해요|평일 점심드시려면 시간 넉넉한 분들만 가세요.식사 엄청 늦게 나오는건 기본이고 음식 나와도 테이블못찾고 다른데 들고가서 여기서 시킨거냐고 묻네요.|홍콩반점 많이와봣는데 이렇게 불친절한데는 처음입니다.음식시켜먹는게 죄송할정도네요ㅋㅋ 다음부터는 홍콩반점올때 내가 꼭 짬뽕울 먹어야하는 상황인지.. 이게 무례한것이 아닌지 고민해보고 오겟습니다ㅋㅋ|biit unkind workers, but the food wasn't too bad.|"
일일향 서현점,2.5,성남시 분당구 서현로 170 풍림아이원 오피스텔 2층 225호,"|내 생애 60년만에 처음 써보는 리뷰를 이렇게 쓰자니 속상하네요....일일향을 4월에서 6월 사이에 3번  방문하였으나 단 한번도 후회를 안한적이 없었다.첫번째는 모르고 방문해서 전가복 탕수육 어향동고 쟁반짜장 잡채밥을 시켜먹었는데 가격대비 맛이별로라 후회됏고 2번때 방문에서 탕수육과 삼선 짬뽕과 삼선짜장 옛날짜장을 시켰는데 탕수육 간이 1도 안되어있는거 같아서 너무너무 맛이 없고 짜장면은 식당에서 바로 먹는데 왜 면이 불어서 엉겨붙는지 모르겠었고 짜장소스도 맛 없고 3번째 방문은 정말 가기 싫었으나 동행하신분의 여러가지 사정으로 인해 할수없이 갔는데 첫번째 방문때 7만원하던게 한달정도 지났는데  83000원으로 가격이 올라있음에도 큰맘먹고 주문한 전가복이 나머지 음식 다 먹고 기다려도 안나와서 물어보니 주문 받으신분과 주방의 소통실수로 안나와서 적절한 사과도 없이 그냥 우릴 쳐다보니....그냥 해주세요 했더니 빨리 드릴께요 하길래  천천히 잘 해주세요했는데 얼마후에 휙 나왔는데 재료들이 안 익어서 먹을수가 없어서 기가 막히고 한달전 재료보다 중요한 재료는 빠져있었고 소스는  부족해서.재료들과 버물려 지지도 않아서 따로 따로 ...한숨이 나옴.. 안익어서 못 먹겠다고 햇더니 다시 가져가 한참후에 가져오니 이덴 야채들이 다 죽사발되게 익혀옴...정말 왜 이럴까요?결코 싸지 않은 가격의 음식을 팔면서 기본의 기본도 안되어 있었습니다.식당에 손님이 우리 한테이블이어서 바쁜것도 아니었는데....||별점보고 걱정했는데 너무맛있고 서비스도 좋았어요! 어향동고 굿굿||별 하나 처음 달아봐요 ㅎㅎ 친절도 매우 놀라움.. 카운터 사장님도 그렇고.. 눈치 너무 보여요|원래 일일향 좋아하는데 서현점은 진짜 아니네요. 두번 시켰는데 첫번째는 음식에서 탄내 나서 못 먹고, 두번째 시킨 짜장은 불어터지고 간도 안 맞아서 먹다 버렸네요. 가서 먹으면 다를지도 모르겠지만 배달은 아닌 듯 싶네요.|짜장면을 시키면서 고추가루 좀 달라니 고추가루는 못 준답니다... 헐...몇달후인 며칠전 짬뽕등을 시키면서 한사람이 흰 와이셔츠를 입어서 그러니 앞치마? 하나 주시면 안되냐니 못줍답니다.....같은 건물에서 일주일 두세번은 시켜 먹는데...(포장 배달로)자주 가서 얼굴도 알텐데...융통성 제로 빵점 빵점 빵점...입니다|간짜장과후라이 맛납니다. 한동안 별루였다가 다시 맛있어졌네요~|개인적으로 맛은 괜찮은데 가성비나 서비스가 별로였던||음식의 맛이 일정하지 않습니다. 카운터에 계시는 사장님? 같은 분에게 물어보니 주방장에 ㅋ따라 원래 그렇다고 합니다...ㅋ 말투도 불친절하고 음식장사하시면서 기본이 안되있으시네요 식당이 음식 맛이 일정하지 않는다는게 당당한 일은 아닐텐데요...ㅋ|서현역직장인이라서 자주 갔는데 갈수록 음식퀄리티가 떨어져요... 이게 16000원인데 이거 말고도 식사류 다른것도 가격대비 가성비 꽝입니다. 너무 기름지고 맛없음. 갈때마다 음식요리상태가 달라지는거보니 신뢰를 잃음."
홍콩반점0410 분당야탑점,2.3,성남시 분당구 야탑로69번길 3 강남프라자 2층,"맛있었어요|음식 나오는 속도가 말도 안되게 느리고주방장내 노래 소리가 너무 커서 오지러워요|짬뽕에 들어가는 홍합 정말 부실하네요 다 버림|탕짜면 시켰는데 맛도없고 면은 한눈에봐도 엄청 부실해보이는 양 (중국집 짜장 3분의1 수준.) 홍콩반점 갈거면 서현으로 가세요|오징어 2조각고기 1조각양파 반쪽(?)재방문 절대안함야탑이 물가가 높긴하네요. 홍콩반점 평균에 못치지는 퀄|고추 짜장이 진짜 맛나네요....매콤하고...넘 짜지도않고..가격도 저렴하고...아주 추천합니다.^^|젓가락질 하고나서 먹어본 짬뽕 중 젤 맛없음짬뽕라면 먹는게 나음다신안갈듯|짜장, 탕수육은 맛잇었으나  짬뽕은 진짜 이렇게 맛이 없을 수 있나 싶었네요.. 국물하고 면하고 야채하고 다 따로 놀고.... 이걸 제대로 조리 한건지 의심될 맛이였어요|양 적고 별로네요 다시는 안가요|아쉽게도 맛이 없어요......|깔끔하지 않음|예전엔 맛없었는데 주방장이 바꼇나 급이 달라졋네요.최근에 먹은 홍콩반점중에 가장 맛잇습니다.돼지고기숙주복음 짬뽕국물 술안주로 최고입니다|여기 깐풍기 맛집이네! ㄹㅇㅇㅈ|"
